"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000047249","ATP6V1H",25348.2612046101,349,24955.4764291752,344,0.0157394220282541,-0.0650253267821816,-5,-0.11700179712992
"ENSG00000047849","MAP4",22972.4997579796,473,22360.9530784712,488,0.0273488646643226,0.156439818283719,15,0.351005391389761
"ENSG00000048540","LMO3",18868.7191906058,862,18571.4977016568,863,0.0160041744464409,-0.0599748317206765,1,0.0234003594259841
"ENSG00000048740","CELF2",15921.1443995492,1296,15622.4462768543,1318,0.0191198047605036,-0.000540150736776514,22,0.51480790737165
"ENSG00000049759","NEDD4L",12562.2331655586,1775,12317.5229712278,1780,0.0198668348256708,0.0137104146811403,5,0.11700179712992
"ENSG00000050165","DKK3",34428.9243551266,133,33677.4364308282,129,0.022314285288367,0.0603987001358293,-4,-0.0936014377039363
"ENSG00000050748","MAPK9",14275.0417535974,1551,14175.9784965352,1536,0.0069881071762604,-0.231967984924337,-15,-0.351005391389761
"ENSG00000051596","THOC3",11661.3449898276,1866,11552.0646273564,1855,0.00945981224969924,-0.184817011375564,-11,-0.257403953685825
"ENSG00000052802","MSMO1",15293.8763252718,1393,15274.7296012752,1366,0.0012534902087587,-0.341363226230703,-27,-0.63180970450157
"ENSG00000053438","NNAT",35795.2050727694,109,34928.3967824211,108,0.0248167213556321,0.108135907168767,-1,-0.0234003594259841
"ENSG00000054148","PHPT1",19927.208446311,744,19788.4717353758,726,0.00701098663860684,-0.231531529565847,-18,-0.421206469667713
"ENSG00000054356","PTPRN",24797.4428829668,385,23982.8359455948,397,0.0339662473287116,0.282674957873656,12,0.280804313111809
"ENSG00000054523","KIF1B",20112.4752404212,728,19816.2735803529,725,0.0149473945677643,-0.0801342757586457,-3,-0.0702010782779522
"ENSG00000054690","PLEKHH1",20902.1448200607,648,20463.1881344132,662,0.0214510409015525,0.0439311961094755,14,0.327605031963777
"ENSG00000054793","ATP9A",20044.4157090339,734,19415.9597713051,774,0.0323680078209494,0.252186470567907,40,0.936014377039363
"ENSG00000055163","CYFIP2",21788.4850479516,574,21307.9961462497,581,0.0225496991084501,0.0648895234638376,7,0.163802515981889
"ENSG00000055813","CCDC85A",8891.13073200561,2057,8673.78206178973,2057,0.0250581198221892,0.112740895374545,0,0
"ENSG00000057757","PITHD1",17613.1880465279,1026,17577.5377361395,995,0.00202817430538644,-0.326585124368441,-31,-0.725411142205506
"ENSG00000058091","CDK14",16309.8071035871,1233,16093.1732848552,1232,0.0134612245141052,-0.108484893169308,-1,-0.0234003594259841
"ENSG00000058335","RASGRF1",14935.8178624208,1453,14643.9717412902,1465,0.0199294376065785,0.0149046437574069,12,0.280804313111809
"ENSG00000058404","CAMK2B",33041.7728262781,148,31850.9042967157,146,0.0373888451790413,0.347965441937946,-2,-0.0468007188519682
"ENSG00000058668","ATP2B4",17340.2177563347,1062,16722.5864980429,1134,0.036933955065148,0.33928782422446,72,1.68482587867085
"ENSG00000058866","DGKG",9416.66312710699,2044,9319.27841175696,2034,0.0104498128553776,-0.165931468406368,-10,-0.234003594259841
"ENSG00000059758","CDK17",14603.9418408262,1502,14370.4204231447,1509,0.0162501451457498,-0.0552826222570481,7,0.163802515981889
"ENSG00000059804","SLC2A3",16914.8857313428,1137,16360.1000529627,1195,0.0339108976463509,0.281619091040285,58,1.35722084670708
"ENSG00000059915","PSD",26301.7403716656,313,26162.4894216199,296,0.00532254204871762,-0.263740795570902,-17,-0.397806110241729
"ENSG00000060709","RIMBP2",10219.7377635949,1990,10136.3305137279,1986,0.00822854481254882,-0.208305031440908,-4,-0.0936014377039363
"ENSG00000061676","NCKAP1",22768.7181432339,492,22112.7810739816,516,0.0296632552485251,0.200589814328933,24,0.561608626223618
"ENSG00000061918","GUCY1B1",15159.2678789451,1419,14982.5016844829,1420,0.0117981761781028,-0.14020969275961,1,0.0234003594259841
"ENSG00000063015","SEZ6",9758.47794367784,2020,9597.42860355903,2014,0.016780467640998,-0.0451660342326626,-6,-0.140402156555904
"ENSG00000063177","RPL18",27473.8643013593,278,27122.0433792767,265,0.0129717704954102,-0.117821862104975,-13,-0.304204672537793
"ENSG00000063180","CA11",19602.6606136822,785,19516.9177940372,759,0.00439325617650576,-0.281468126412582,-26,-0.608409345075586
"ENSG00000063245","EPN1",15436.9043181141,1363,15413.6539173567,1340,0.00150842888273454,-0.336499941042527,-23,-0.538208266797634
"ENSG00000063854","HAGH",21103.5183061157,624,20949.7292735625,603,0.00734086013928712,-0.225238765565741,-21,-0.491407547945666
"ENSG00000064393","HIPK2",18374.9720514475,921,18032.8709324278,933,0.0189709736348485,-0.00337929709950815,12,0.280804313111809
"ENSG00000064607","SUGP2",15261.3333014477,1399,15104.4010690794,1392,0.0103898348336075,-0.167075626804707,-7,-0.163802515981889
"ENSG00000064651","SLC12A2",14859.8873826496,1462,14750.8028335335,1449,0.00739516013786372,-0.224202922809218,-13,-0.304204672537793
"ENSG00000064787","BCAS1",21365.1883961384,603,20848.820945064,616,0.0247672255632567,0.107191710863897,13,0.304204672537793
"ENSG00000065000","AP3D1",14834.0017893469,1465,14706.3001914901,1456,0.0086834619308752,-0.19962689858291,-9,-0.210603234833857
"ENSG00000065154","OAT",16922.6407862206,1135,16879.8239166498,1104,0.00253657086603655,-0.316886801926537,-31,-0.725411142205506
"ENSG00000065518","NDUFB4",21779.2856137638,575,21488.7758824668,569,0.0135191382182912,-0.107380114300854,-6,-0.140402156555904
"ENSG00000065548","ZC3H15",14523.2424696626,1516,14463.0431328748,1490,0.00416228702596047,-0.285874161916159,-26,-0.608409345075586
"ENSG00000065559","MAP2K4",16978.8634784202,1125,16707.8576955402,1136,0.0162202592228404,-0.0558527349196494,11,0.257403953685825
"ENSG00000065609","SNAP91",20296.4639368179,711,19901.7611602262,716,0.0198325551901665,0.0130564862637505,5,0.11700179712992
