"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank","nSD.bin_dev","nSD.bin_rank"
"ENSG00000142676","RPL11",44625.3726420541,190,44149.1928403435,165,0.0107856966588863,-0.333032749877357,-25,-0.335315010580248,"[0,5)","[0,6)"
"ENSG00000057757","PITHD1",25739.4423308539,1032,25502.5653678161,1000,0.00928835823460667,-0.355814307241498,-32,-0.429203213542717,"[0,5)","[0,6)"
"ENSG00000011009","LYPLA2",14435.833858442,2204,14263.937741085,2190,0.012051098404749,-0.31378003987232,-14,-0.187776405924939,"[0,5)","[0,6)"
"ENSG00000001461","NIPAL3",17570.0772801318,1967,16976.6666233548,1980,0.0349544860568,0.0346881695636273,13,0.174363805501729,"[0,5)","[0,6)"
"ENSG00000169504","CLIC4",20837.2187114718,1627,19941.3625533209,1675,0.0449245208673925,0.186379274444791,48,0.643804820314076,"[0,5)","[0,6)"
"ENSG00000117616","RSRP1",18464.3867118213,1880,17890.7050403796,1905,0.0320659062986552,-0.00926070959021785,25,0.335315010580248,"[0,5)","[0,6)"
"ENSG00000117632","STMN1",58363.7487171799,83,45351.8733622684,147,0.286909324582324,3.86810586189571,64,0.858406427085434,"[0,5)","[0,6)"
"ENSG00000142669","SH3BGRL3",33713.2877960299,472,32963.8193280949,455,0.0227360931837261,-0.151211032394985,-17,-0.228014207194568,"[0,5)","[0,6)"
"ENSG00000198830","HMGN2",27782.2950279104,848,27718.351332411,794,0.00230690832699653,-0.462034984528677,-54,-0.724280422853335,"[0,5)","[0,6)"
"ENSG00000126709","IFI6",29107.5525860263,743,27604.3504487417,805,0.05445526204559,0.331386657781225,62,0.831581226239015,"[0,5)","[0,6)"
"ENSG00000130770","ATP5IF1",41250.6530522145,246,39671.6663467021,245,0.0398013708754571,0.108432075913151,-1,-0.0134126004232099,"[0,5)","[0,6)"
"ENSG00000134644","PUM1",18171.7129908815,1911,18063.7321371054,1886,0.00597777098091101,-0.406183904525658,-25,-0.335315010580248,"[0,5)","[0,6)"
"ENSG00000121766","ZCCHC17",18143.4723079925,1916,18102.4794125475,1881,0.00226449065405771,-0.462680356766268,-35,-0.469441014812347,"[0,5)","[0,6)"
"ENSG00000121769","FABP3",33011.4703997493,496,31793.1902032543,509,0.0383189037874633,0.0858767814934342,13,0.174363805501729,"[0,5)","[0,6)"
"ENSG00000162517","PEF1",18252.1557219818,1903,18168.3053035093,1870,0.00461520307324671,-0.426914968691012,-33,-0.442615813965927,"[0,5)","[0,6)"
"ENSG00000121753","ADGRB2",30146.057942712,673,29194.7445783505,689,0.0325850894776105,-0.00136149243123857,16,0.214601606771359,"[0,5)","[0,6)"
"ENSG00000184007","PTP4A2",32267.5073263265,542,29963.9625130806,633,0.0768771757820828,0.672529385249456,91,1.2205466385121,"[0,5)","[0,6)"
"ENSG00000175130","MARCKSL1",59142.5286352132,81,52335.352092311,91,0.130068419734627,1.48181829130148,10,0.134126004232099,"[0,5)","[0,6)"
"ENSG00000134684","YARS",18674.5332360864,1857,18642.6851025295,1818,0.00170834476802652,-0.471141950484833,-39,-0.523091416505187,"[0,5)","[0,6)"
"ENSG00000121905","HPCA",68051.9219372376,60,57920.2810510252,72,0.174923890256798,2.16428089175736,12,0.160951205078519,"[0,5)","[0,6)"
"ENSG00000020129","NCDN",99845.040597755,30,90771.7240824351,27,0.0999575209905668,1.02368995110766,-3,-0.0402378012696297,"[0,5)","[0,6)"
"ENSG00000126067","PSMB2",21736.4385495187,1524,21675.3123160269,1478,0.00282008547792296,-0.454227147294137,-46,-0.616979619467656,"[0,5)","[0,6)"
"ENSG00000142686","C1orf216",20116.8546796576,1708,19920.6608111205,1680,0.00984876307053271,-0.347287914871027,-28,-0.375552811849878,"[0,5)","[0,6)"
"ENSG00000116871","MAP7D1",27587.1757563429,866,27381.979451231,823,0.00749384482876486,-0.383117293281928,-43,-0.576741818198026,"[0,5)","[0,6)"
"ENSG00000197982","C1orf122",33773.0682056634,470,32672.7556057231,470,0.033676761556883,0.0152479725323971,0,0,"[0,5)","[0,6)"
"ENSG00000168653","NDUFS5",36260.0244639942,383,35339.9971620993,364,0.0260335986354164,-0.101040470825116,-19,-0.254839408040988,"[0,5)","[0,6)"
"ENSG00000116983","HPCAL4",28447.6694437279,797,27539.2907049059,809,0.0329848269716016,0.00472039427004986,12,0.160951205078519,"[0,5)","[0,6)"
"ENSG00000084070","SMAP2",20418.973455822,1672,20299.1920524009,1640,0.00590079659879335,-0.40735504678271,-32,-0.429203213542717,"[0,5)","[0,6)"
"ENSG00000066322","ELOVL1",27861.998550708,842,25421.8361811272,1013,0.0959868654724617,0.963277612125254,171,2.2935546723689,"[0,5)","[0,6)"
"ENSG00000117408","IPO13",22296.8398937414,1465,21666.5738923205,1480,0.0290893246229514,-0.0545485116625663,15,0.201189006348149,"[0,5)","[0,6)"
"ENSG00000117410","ATP6V0B",35761.8700011807,398,35449.4090863848,360,0.00881427710217985,-0.363027310219656,-38,-0.509678816081977,"[0,5)","[0,6)"
"ENSG00000117419","ERI3",25772.4739629066,1028,25733.0232226209,978,0.00153307833068657,-0.473808577034666,-50,-0.670630021160496,"[0,5)","[0,6)"
"ENSG00000142937","RPS8",44248.7208646074,197,43502.945116159,174,0.0171431094252818,-0.236306611499627,-23,-0.308489809733828,"[0,5)","[0,6)"
"ENSG00000117450","PRDX1",36124.7051980057,389,35714.0695421402,352,0.011497867958759,-0.322197276040538,-37,-0.496266215658767,"[0,5)","[0,6)"
"ENSG00000173660","UQCRH",38112.413713367,324,36628.9951096739,317,0.0404984793945743,0.119038374035061,-7,-0.0938882029624694,"[0,5)","[0,6)"
"ENSG00000162368","CMPK1",20590.1247558991,1658,20465.2607030496,1626,0.00610126861618248,-0.404304924853025,-32,-0.429203213542717,"[0,5)","[0,6)"
"ENSG00000162374","ELAVL4",15986.5252826627,2086,15651.5926235961,2089,0.0213992701651171,-0.171550395754872,3,0.0402378012696297,"[0,5)","[0,6)"
"ENSG00000123091","RNF11",30717.1708976594,633,30465.1131114948,594,0.00827365338320366,-0.371252738797832,-39,-0.523091416505187,"[0,5)","[0,6)"
"ENSG00000085832","EPS15",25756.1364163091,1031,25530.6201483273,995,0.0088331684334961,-0.362739884250291,-36,-0.482853615235557,"[0,5)","[0,6)"
"ENSG00000169213","RAB3B",15453.35308647,2128,14324.2419515104,2184,0.0788251928989878,0.702167884452769,56,0.751105623699755,"[0,5)","[0,6)"
